"","stn_name","EWL","NSL","NEL","CCL","DTL","PGLRT","SKLRT","BPLRT","TEL","total_in","total_out","total_sum"
"1","Admiralty",0,1,0,0,0,0,0,0,0,178373,288876,467249
"2","Aljunied",1,0,0,0,0,0,0,0,0,105076,165391,270467
"3","Ang Mo Kio",0,1,0,0,0,0,0,0,0,190636,326604,517240
"4","Bakau",0,0,0,0,0,0,1,0,0,7119,23395,30514
"5","Bangkit",0,0,0,0,0,0,0,1,0,7512,15105,22617
"6","Bartley",0,0,0,1,0,0,0,0,0,36138,54706,90844
"7","Bayfront",0,0,0,1,1,0,0,0,0,143880,136281,280161
"8","Bayshore",0,0,0,0,0,0,0,0,1,10732,31012,41744
"9","Beauty World",0,0,0,0,1,0,0,0,0,73419,120552,193971
"10","Bedok",1,0,0,0,0,0,0,0,0,142301,232640,374941
"11","Bedok North",0,0,0,0,1,0,0,0,0,32647,62317,94964
"12","Bedok Reservoir",0,0,0,0,1,0,0,0,0,25811,82633,108444
"13","Bencoolen",0,0,0,0,1,0,0,0,0,66613,42824,109437
"14","Bendemeer",0,0,0,0,1,0,0,0,0,51361,23353,74714
"15","Bishan",0,1,0,1,0,0,0,0,0,165638,158722,324360
"16","Boon Keng",0,0,1,0,0,0,0,0,0,158799,132146,290945
"17","Boon Lay",1,0,0,0,0,0,0,0,0,243188,405914,649102
"18","Botanic Gardens",0,0,0,1,1,0,0,0,0,36640,35661,72301
"19","Braddell",0,1,0,0,0,0,0,0,0,75558,88252,163810
"20","Bras Basah",0,0,0,1,0,0,0,0,0,43717,16581,60298
"21","Bright Hill",0,0,0,0,0,0,0,0,1,41180,39247,80427
"22","Buangkok",0,0,1,0,0,0,0,0,0,65838,201939,267777
"23","Bugis",1,0,0,0,1,0,0,0,0,382818,274255,657073
"24","Bukit Batok",0,1,0,0,0,0,0,0,0,128142,249811,377953
"25","Bukit Gombak",0,1,0,0,0,0,0,0,0,65784,159583,225367
"26","Bukit Panjang",0,0,0,0,1,0,0,1,0,158128,330234,488362
"27","Buona Vista",1,0,0,1,0,0,0,0,0,291031,115830,406861
"28","Caldecott",0,0,0,1,0,0,0,0,1,49033,53097,102130
"29","Canberra",0,1,0,0,0,0,0,0,0,76638,168904,245542
"30","Cashew",0,0,0,0,1,0,0,0,0,32915,16725,49640
"31","Changi Airport",1,0,0,0,0,0,0,0,0,103752,68712,172464
"32","Cheng Lim",0,0,0,0,0,0,1,0,0,17685,14386,32071
"33","Chinatown",0,0,1,0,1,0,0,0,0,313929,232586,546515
"34","Chinese Garden",1,0,0,0,0,0,0,0,0,43546,109857,153403
"35","Choa Chu Kang",0,1,0,0,0,0,0,1,0,177538,316127,493665
"36","City Hall",1,1,0,0,0,0,0,0,0,330900,227786,558686
"37","Clarke Quay",0,0,1,0,0,0,0,0,0,130173,63969,194142
"38","Clementi",1,0,0,0,0,0,0,0,0,285124,325637,610761
"39","Commonwealth",1,0,0,0,0,0,0,0,0,95232,75786,171018
"40","Compassvale",0,0,0,0,0,0,1,0,0,17281,27122,44403
"41","Coral Edge",0,0,0,0,0,1,0,0,0,21441,43804,65245
"42","Cove",0,0,0,0,0,1,0,0,0,11713,25754,37467
"43","Dakota",0,0,0,1,0,0,0,0,0,31010,37790,68800
"44","Damai",0,0,0,0,0,1,0,0,0,11999,31179,43178
"45","Dhoby Ghaut",0,1,1,1,0,0,0,0,0,226224,171996,398220
"46","Dover",1,0,0,0,0,0,0,0,0,94098,56783,150881
"47","Downtown",0,0,0,0,1,0,0,0,0,291770,27238,319008
"48","Esplanade",0,0,0,1,0,0,0,0,0,55208,24293,79501
"49","Eunos",1,0,0,0,0,0,0,0,0,60833,114124,174957
"50","Expo",1,0,0,0,1,0,0,0,0,185953,35286,221239
"51","Fajar",0,0,0,0,0,0,0,1,0,9164,25774,34938
"52","Farmway",0,0,0,0,0,0,1,0,0,19311,32431,51742
"53","Farrer Park",0,0,1,0,0,0,0,0,0,127911,192432,320343
"54","Farrer Road",0,0,0,1,0,0,0,0,0,26672,37610,64282
"55","Fernvale",0,0,0,0,0,0,1,0,0,26213,51754,77967
"56","Fort Canning",0,0,0,0,1,0,0,0,0,44675,37297,81972
"57","Gardens by the Bay",0,0,0,0,0,0,0,0,1,13413,26867,40280
"58","Geylang Bahru",0,0,0,0,1,0,0,0,0,31925,37414,69339
"59","Great World",0,0,0,0,0,0,0,0,1,49544,63275,112819
"60","Gul Circle",1,0,0,0,0,0,0,0,0,60862,7996,68858
"61","HarbourFront",0,0,1,1,0,0,0,0,0,362877,196634,559511
"62","Havelock",0,0,0,0,0,0,0,0,1,48897,42097,90994
"63","Haw Par Villa",0,0,0,1,0,0,0,0,0,61873,30936,92809
"64","Hillview",0,0,0,0,1,0,0,0,0,23401,51280,74681
"65","Holland Village",0,0,0,1,0,0,0,0,0,45318,73889,119207
"66","Hougang",0,0,1,0,0,0,0,0,0,111219,245852,357071
"67","Hume",0,0,0,0,1,0,0,0,0,6463,18911,25374
"68","Jalan Besar",0,0,0,0,1,0,0,0,0,41035,72278,113313
"69","Jelapang",0,0,0,0,0,0,0,1,0,9630,19129,28759
"70","Joo Koon",1,0,0,0,0,0,0,0,0,205997,43817,249814
"71","Jurong East",1,1,0,0,0,0,0,0,0,577738,392985,970723
"72","Kadaloor",0,0,0,0,0,1,0,0,0,16327,43599,59926
"73","Kaki Bukit",0,0,0,0,1,0,0,0,0,86433,66566,152999
"74","Kallang",1,0,0,0,0,0,0,0,0,47240,87157,134397
"75","Kangkar",0,0,0,0,0,0,1,0,0,10510,25261,35771
"76","Katong Park",0,0,0,0,0,0,0,0,1,15927,23331,39258
"77","Keat Hong",0,0,0,0,0,0,0,1,0,12870,35061,47931
"78","Kembangan",1,0,0,0,0,0,0,0,0,42949,89233,132182
"79","Kent Ridge",0,0,0,1,0,0,0,0,0,274057,50991,325048
"80","Khatib",0,1,0,0,0,0,0,0,0,124219,256111,380330
"81","King Albert Park",0,0,0,0,1,0,0,0,0,56300,42530,98830
"82","Kovan",0,0,1,0,0,0,0,0,0,97543,160513,258056
"83","Kranji",0,1,0,0,0,0,0,0,0,101878,146014,247892
"84","Kupang",0,0,0,0,0,0,1,0,0,6896,15089,21985
"85","Labrador Park",0,0,0,1,0,0,0,0,0,129998,9555,139553
"86","Lakeside",1,0,0,0,0,0,0,0,0,145210,251355,396565
"87","Lavender",1,0,0,0,0,0,0,0,0,115809,99560,215369
"88","Layar",0,0,0,0,0,0,1,0,0,13372,24099,37471
"89","Lentor",0,0,0,0,0,0,0,0,1,32314,49183,81497
"90","Little India",0,0,1,0,1,0,0,0,0,166305,141917,308222
"91","Lorong Chuan",0,0,0,1,0,0,0,0,0,43272,43342,86614
"92","MacPherson",0,0,0,1,1,0,0,0,0,133111,86671,219782
"93","Marina Bay",0,1,0,1,0,0,0,0,1,79232,13532,92764
"94","Marina South Pier",0,1,0,0,0,0,0,0,0,12001,6817,18818
"95","Marine Parade",0,0,0,0,0,0,0,0,1,57696,70262,127958
"96","Marine Terrace",0,0,0,0,0,0,0,0,1,19564,42615,62179
"97","Marsiling",0,1,0,0,0,0,0,0,0,84902,133175,218077
"98","Marymount",0,0,0,1,0,0,0,0,0,52820,42426,95246
"99","Mattar",0,0,0,0,1,0,0,0,0,27279,29836,57115
"100","Maxwell",0,0,0,0,0,0,0,0,1,75529,49638,125167
"101","Mayflower",0,0,0,0,0,0,0,0,1,41188,95008,136196
"102","Meridian",0,0,0,0,0,1,0,0,0,17116,37665,54781
"103","Mountbatten",0,0,0,1,0,0,0,0,0,27750,37854,65604
"104","Napier",0,0,0,0,0,0,0,0,1,36794,16028,52822
"105","Newton",0,1,0,0,1,0,0,0,0,349358,350951,700309
"106","Nibong",0,0,0,0,0,1,0,0,0,7467,18957,26424
"107","Nicoll Highway",0,0,0,1,0,0,0,0,0,35500,16740,52240
"108","Novena",0,1,0,0,0,0,0,0,0,342442,130046,472488
"109","Oasis",0,0,0,0,0,1,0,0,0,25510,48204,73714
"110","Orchard",0,1,0,0,0,0,0,0,1,395357,291331,686688
"111","Orchard Boulevard",0,0,0,0,0,0,0,0,1,28938,16599,45537
"112","Outram Park",1,0,1,0,0,0,0,0,1,326822,106507,433329
"113","Pasir Panjang",0,0,0,1,0,0,0,0,0,71364,21381,92745
"114","Pasir Ris",1,0,0,0,0,0,0,0,0,106338,239158,345496
"115","Paya Lebar",1,0,0,1,0,0,0,0,0,309404,271258,580662
"116","Pending",0,0,0,0,0,0,0,1,0,9742,10536,20278
"117","Petir",0,0,0,0,0,0,0,1,0,3821,7951,11772
"118","Phoenix",0,0,0,0,0,0,0,1,0,9808,11668,21476
"119","Pioneer",1,0,0,0,0,0,0,0,0,170049,188339,358388
"120","Potong Pasir",0,0,1,0,0,0,0,0,0,92835,98941,191776
"121","Promenade",0,0,0,1,1,0,0,0,0,191554,72219,263773
"122","Punggol",0,0,1,0,0,0,0,0,0,158309,326373,484682
"123","Punggol Coast",0,0,1,0,0,0,0,0,0,87967,68414,156381
"124","Punggol Point",0,0,0,0,0,1,0,0,0,3328,5628,8956
"125","Queenstown",1,0,0,0,0,0,0,0,0,92236,124355,216591
"126","Raffles Place",1,1,0,0,0,0,0,0,0,762907,114514,877421
"127","Ranggung",0,0,0,0,0,0,1,0,0,11549,16728,28277
"128","Redhill",1,0,0,0,0,0,0,0,0,121811,116182,237993
"129","Renjong",0,0,0,0,0,0,1,0,0,9996,10467,20463
"130","Riviera",0,0,0,0,0,1,0,0,0,6613,11205,17818
"131","Rochor",0,0,0,0,1,0,0,0,0,71560,48576,120136
"132","Rumbia",0,0,0,0,0,0,1,0,0,14834,41723,56557
"133","Sam Kee",0,0,0,0,0,1,0,0,0,10271,9777,20048
"134","Samudera",0,0,0,0,0,1,0,0,0,14317,29982,44299
"135","Segar",0,0,0,0,0,0,0,1,0,9649,28430,38079
"136","Sembawang",0,1,0,0,0,0,0,0,0,152605,325348,477953
"137","Sengkang",0,0,1,0,0,0,0,0,0,179625,372924,552549
"138","Senja",0,0,0,0,0,0,0,1,0,3731,8207,11938
"139","Serangoon",0,0,1,1,0,0,0,0,0,248057,450827,698884
"140","Shenton Way",0,0,0,0,0,0,0,0,1,194910,17918,212828
"141","Siglap",0,0,0,0,0,0,0,0,1,15113,33305,48418
"142","Simei",1,0,0,0,0,0,0,0,0,78248,130049,208297
"143","Sixth Avenue",0,0,0,0,1,0,0,0,0,30058,29760,59818
"144","Somerset",0,1,0,0,0,0,0,0,0,196429,188235,384664
"145","Soo Teck",0,0,0,0,0,1,0,0,0,13663,21085,34748
"146","South View",0,0,0,0,0,0,0,1,0,7429,20473,27902
"147","Springleaf",0,0,0,0,0,0,0,0,1,42714,31232,73946
"148","Stadium",0,0,0,1,0,0,0,0,0,35669,40211,75880
"149","Stevens",0,0,0,0,1,0,0,0,1,48080,48375,96455
"150","Sumang",0,0,0,0,0,1,0,0,0,4704,10965,15669
"151","Tai Seng",0,0,0,1,0,0,0,0,0,226431,57321,283752
"152","Tampines",1,0,0,0,1,0,0,0,0,254537,452638,707175
"153","Tampines East",0,0,0,0,1,0,0,0,0,65651,153481,219132
"154","Tampines West",0,0,0,0,1,0,0,0,0,36440,81745,118185
"155","Tan Kah Kee",0,0,0,0,1,0,0,0,0,39081,25990,65071
"156","Tanah Merah",1,0,0,0,0,0,0,0,0,93863,91179,185042
"157","Tanjong Katong",0,0,0,0,0,0,0,0,1,11193,23966,35159
"158","Tanjong Pagar",1,0,0,0,0,0,0,0,0,460361,119630,579991
"159","Tanjong Rhu",0,0,0,0,0,0,0,0,1,10537,22683,33220
"160","Teck Lee",0,0,0,0,0,1,0,0,0,990,726,1716
"161","Teck Whye",0,0,0,0,0,0,0,1,0,15391,13345,28736
"162","Telok Ayer",0,0,0,0,1,0,0,0,0,203506,39841,243347
"163","Telok Blangah",0,0,0,1,0,0,0,0,0,17946,27134,45080
"164","Thanggam",0,0,0,0,0,0,1,0,0,10580,25324,35904
"165","Tiong Bahru",1,0,0,0,0,0,0,0,0,118866,190012,308878
"166","Toa Payoh",0,1,0,0,0,0,0,0,0,201496,230942,432438
"167","Tongkang",0,0,0,0,0,0,1,0,0,8056,15790,23846
"168","Tuas Crescent",1,0,0,0,0,0,0,0,0,65924,9899,75823
"169","Tuas Link",1,0,0,0,0,0,0,0,0,36956,41952,78908
"170","Tuas West Road",1,0,0,0,0,0,0,0,0,69483,15859,85342
"171","Ubi",0,0,0,0,1,0,0,0,0,84425,52606,137031
"172","Upper Changi",0,0,0,0,1,0,0,0,0,38987,30764,69751
"173","Upper Thomson",0,0,0,0,0,0,0,0,1,57078,69235,126313
"174","Woodlands",0,1,0,0,0,0,0,0,1,246057,515152,761209
"175","Woodlands North",0,0,0,0,0,0,0,0,1,80855,21334,102189
"176","Woodlands South",0,0,0,0,0,0,0,0,1,62103,85403,147506
"177","Woodleigh",0,0,1,0,0,0,0,0,0,80393,111987,192380
"178","Yew Tee",0,1,0,0,0,0,0,0,0,104977,240026,345003
"179","Yio Chu Kang",0,1,0,0,0,0,0,0,0,189033,88955,277988
"180","Yishun",0,1,0,0,0,0,0,0,0,179599,458645,638244
"181","one-north",0,0,0,1,0,0,0,0,0,212676,23050,235726
